X,Y,streamorde,IX,Shape_Leng,X_UTM,Y_UTM,flowacc_co,slp_deg_co,AngeloSage
458158,4379410,4384,21564,4384,458158,4379410,718228,8.44939,729.441
458159,4379409,4384,21564,4384,458159,4379409,718235,8.23568,729.483
458160,4379410,4384,21564,4384,458160,4379410,718267,4.03401,729.357
458161,4379410,4384,21564,4384,458161,4379410,718269,3.89979,729.336
458162,4379411,4384,21564,4384,458162,4379411,719058,9.39708,729.189
458163,4379411,4384,21564,4384,458163,4379411,719091,6.12535,729.21
458164,4379411,4384,21564,4384,458164,4379411,719099,5.95379,729.251
458165,4379411,4384,21564,4384,458165,4379411,719101,6.04006,729.266
458166,4379410,4384,21564,4384,458166,4379410,721734,5.76806,729.172
458167,4379410,4384,21564,4384,458167,4379410,721736,3.94873,729.17
458168,4379410,4384,21564,4384,458168,4379410,721940,1.38889,729.118
458169,4379409,4384,21564,4384,458169,4379409,721944,10.2516,729.118
458170,4379409,4384,21564,4384,458170,4379409,721952,5.65675,729.076
458171,4379409,4384,21564,4384,458171,4379409,721984,0.749937,729.055
458172,4379409,4384,21564,4384,458172,4379409,721998,5.84055,729.011
458173,4379408,4384,21564,4384,458173,4379408,722010,4.21266,728.878
458174,4379407,4384,21564,4384,458174,4379407,722022,1.89814,728.825
458175,4379406,4384,21564,4384,458175,4379406,722030,5.42678,728.89
458175,4379405,4384,21564,4384,458175,4379405,722034,1.27769,728.875
458174,4379404,4384,21564,4384,458174,4379404,722041,4.36981,728.887
458174,4379403,4384,21564,4384,458174,4379403,722099,8.37581,728.823
458175,4379402,4384,21564,4384,458175,4379402,722222,7.03803,728.74
458176,4379402,4384,21564,4384,458176,4379402,722225,7.86994,728.684
458177,4379402,4384,21564,4384,458177,4379402,722806,9.32815,728.546
458177,4379401,4384,21564,4384,458177,4379401,722840,2.81654,728.459
458178,4379400,4384,21564,4384,458178,4379400,722843,10.0277,728.545
458178,4379399,4384,21564,4384,458178,4379399,722858,2.94573,728.542
458179,4379398,4384,21564,4384,458179,4379398,722861,7.12868,728.511
458179,4379397,4384,21564,4384,458179,4379397,722982,4.93993,728.368
458180,4379396,4384,21564,4384,458180,4379396,0,2.53658,728.373
458180,4379395,4384,21564,4384,458180,4379395,723098,8.96798,728.451
458181,4379394,4384,21564,4384,458181,4379394,723114,9.07213,728.411
458182,4379394,4384,21564,4384,458182,4379394,723115,18.1623,728.443
458183,4379394,4384,21564,4384,458183,4379394,723889,15.095,727.79
458184,4379393,4384,21564,4384,458184,4379393,724026,6.46972,727.821
458185,4379392,4384,21564,4384,458185,4379392,724252,8.93302,727.952
458186,4379393,4384,21564,4384,458186,4379393,724263,4.03726,727.91
458187,4379393,4384,21564,4384,458187,4379393,724268,8.36581,727.925
458188,4379392,4384,21564,4384,458188,4379392,724282,3.7534,727.902
