X,Y,streamorde,IX,X_UTM,Y_UTM,flowacc_co,slp_deg_co,AngeloSage
447556,4399645,5,34659,447556.00000000000,4399645.00000000000,578851,45.09710000000,655.30000000000
447555,4399645,5,34659,447555.00000000000,4399645.00000000000,578854,52.01210000000,654.10700000000
447554,4399646,5,34659,447554.00000000000,4399646.00000000000,578873,55.62380000000,652.39900000000
447553,4399646,5,34659,447553.00000000000,4399646.00000000000,578878,42.94280000000,650.98900000000
447552,4399646,5,34659,447552.00000000000,4399646.00000000000,580390,11.42820000000,650.77200000000
447551,4399645,5,34659,447551.00000000000,4399645.00000000000,580426,13.76640000000,650.54500000000
447550,4399645,5,34659,447550.00000000000,4399645.00000000000,580427,5.78961000000,650.54100000000
447549,4399645,5,34659,447549.00000000000,4399645.00000000000,591574,11.66110000000,650.41100000000
447548,4399644,5,34659,447548.00000000000,4399644.00000000000,591600,13.17920000000,650.27800000000
447547,4399644,5,34659,447547.00000000000,4399644.00000000000,591619,16.89390000000,650.05400000000
447546,4399644,5,34659,447546.00000000000,4399644.00000000000,591624,20.44930000000,649.71000000000
447545,4399643,5,34659,447545.00000000000,4399643.00000000000,591627,18.19910000000,649.26000000000
447544,4399642,5,34659,447544.00000000000,4399642.00000000000,591639,20.36490000000,648.79100000000
447543,4399642,5,34659,447543.00000000000,4399642.00000000000,591819,22.93110000000,648.45700000000
447543,4399641,5,34659,447543.00000000000,4399641.00000000000,591820,9.76293000000,648.50500000000
447543,4399640,5,34659,447543.00000000000,4399640.00000000000,592150,14.76310000000,648.34700000000
447542,4399639,5,34659,447542.00000000000,4399639.00000000000,592191,14.42120000000,648.07300000000
447541,4399638,5,34659,447541.00000000000,4399638.00000000000,592229,12.85970000000,647.54700000000
447540,4399637,5,34659,447540.00000000000,4399637.00000000000,592439,6.06848000000,647.55100000000
447539,4399636,5,34659,447539.00000000000,4399636.00000000000,592475,12.38620000000,647.32600000000
447538,4399635,5,34659,447538.00000000000,4399635.00000000000,592477,20.42130000000,647.15900000000
447537,4399635,5,34659,447537.00000000000,4399635.00000000000,601863,9.30814000000,646.91200000000
447536,4399634,5,34659,447536.00000000000,4399634.00000000000,601908,12.21320000000,646.86900000000
447536,4399633,5,34659,447536.00000000000,4399633.00000000000,601950,10.12050000000,646.58100000000
447535,4399633,5,34659,447535.00000000000,4399633.00000000000,602041,9.62730000000,646.56200000000
447535,4399632,5,34659,447535.00000000000,4399632.00000000000,602042,0.77277700000,646.55500000000
447535,4399631,5,34659,447535.00000000000,4399631.00000000000,602490,15.76420000000,646.52100000000
447534,4399631,5,34659,447534.00000000000,4399631.00000000000,602491,4.16522000000,646.52100000000
447533,4399631,5,34659,447533.00000000000,4399631.00000000000,602506,9.38523000000,646.40400000000
447532,4399630,5,34659,447532.00000000000,4399630.00000000000,602509,10.37780000000,646.30800000000
447531,4399629,5,34659,447531.00000000000,4399629.00000000000,602529,13.97180000000,646.00900000000
447530,4399628,5,34659,447530.00000000000,4399628.00000000000,602562,15.32630000000,645.70200000000
