FID,ARCID,GRID_CODE,FROM_NODE,TO_NODE,Length,X_UTM,Y_UTM,flowacc_co,AngeloSage
14230,2696,1,2129,2328,64.104095999999998,457614.000000000000000,4380165.000000000000000,34644,739.3010254
14231,2696,1,2129,2328,64.104095999999998,457618.000000000000000,4380160.000000000000000,33525,741.2249756
14232,2696,1,2129,2328,64.104095999999998,457622.000000000000000,4380157.000000000000000,33467,742.2150269
14233,2697,1,2329,2070,92.006608999999997,458092.000000000000000,4380165.000000000000000,28404,691.1640015
14234,2697,1,2329,2070,92.006608999999997,458092.000000000000000,4380168.000000000000000,28689,690.3250122
14235,2697,1,2329,2070,92.006608999999997,458097.000000000000000,4380171.000000000000000,28745,689.4780273
14236,2698,1,2330,2092,82.558721000000006,458397.000000000000000,4380160.000000000000000,4165465,655.3519897
14237,2698,1,2330,2092,82.558721000000006,458398.000000000000000,4380162.000000000000000,4165742,655.2830200
14238,2698,1,2330,2092,82.558721000000006,458407.000000000000000,4380171.000000000000000,4166853,655.1890259
14239,2705,1,1935,2336,126.170424000000000,457174.000000000000000,4380172.000000000000000,240204,754.7800293
14240,2705,1,1935,2336,126.170424000000000,457168.000000000000000,4380165.000000000000000,239443,755.8280029
14241,2705,1,1935,2336,126.170424000000000,457168.000000000000000,4380162.000000000000000,238604,755.6740112
14242,2705,1,1935,2336,126.170424000000000,457167.000000000000000,4380162.000000000000000,238537,755.8629761
14243,2705,1,1935,2336,126.170424000000000,457166.000000000000000,4380158.000000000000000,238259,756.4869995
14244,2714,1,2146,2344,53.624803999999997,457028.000000000000000,4380161.000000000000000,7930,778.0880127
14245,2714,1,2146,2344,53.624803999999997,457029.000000000000000,4380158.000000000000000,7904,778.9760132
14246,2719,1,2152,2348,56.191153999999997,458663.000000000000000,4380160.000000000000000,1105,659.7399902
14247,2719,1,2152,2348,56.191153999999997,458662.000000000000000,4380159.000000000000000,1110,659.2899780
14248,2755,1,2377,2083,86.144109999999998,457418.000000000000000,4380160.000000000000000,8366,764.8679810
14249,2755,1,2377,2083,86.144109999999998,457420.000000000000000,4380162.000000000000000,8893,764.4349976
14250,2755,1,2377,2083,86.144109999999998,457419.000000000000000,4380163.000000000000000,8898,764.1589966
14251,2755,1,2377,2083,86.144109999999998,457420.000000000000000,4380168.000000000000000,8922,763.1649780
14252,2755,1,2377,2083,86.144109999999998,457418.000000000000000,4380172.000000000000000,9232,762.1929932
14253,2781,1,2117,2399,91.126627999999997,456816.000000000000000,4380169.000000000000000,553959,762.0880127
14254,2781,1,2117,2399,91.126627999999997,456819.000000000000000,4380166.000000000000000,553871,761.9970093
14255,2781,1,2117,2399,91.126627999999997,456819.000000000000000,4380164.000000000000000,553864,762.1170044
14256,2781,1,2117,2399,91.126627999999997,456820.000000000000000,4380164.000000000000000,553762,762.4439697
14257,2781,1,2117,2399,91.126627999999997,456823.000000000000000,4380160.000000000000000,552724,762.7670288
14258,2781,1,2117,2399,91.126627999999997,456822.000000000000000,4380159.000000000000000,552721,762.8170166
14259,2796,1,2136,2414,116.128778999999990,457223.000000000000000,4380167.000000000000000,9624,758.5230103
14260,2796,1,2136,2414,116.128778999999990,457225.000000000000000,4380164.000000000000000,6688,758.8150024
14261,2796,1,2136,2414,116.128778999999990,457225.000000000000000,4380162.000000000000000,6668,759.0449829
14262,2796,1,2136,2414,116.128778999999990,457227.000000000000000,4380160.000000000000000,6660,759.4379883
14263,2796,1,2136,2414,116.128778999999990,457227.000000000000000,4380157.000000000000000,6657,760.0750122
14264,2815,1,2136,2429,135.673528000000000,457223.000000000000000,4380167.000000000000000,9624,758.5230103
14265,2815,1,2136,2429,135.673528000000000,457224.000000000000000,4380168.000000000000000,9617,758.5590210
14266,2815,1,2136,2429,135.673528000000000,457231.000000000000000,4380168.000000000000000,9343,759.0300293
14267,2815,1,2136,2429,135.673528000000000,457235.000000000000000,4380171.000000000000000,9181,759.3920288
14268,2815,1,2136,2429,135.673528000000000,457237.000000000000000,4380171.000000000000000,9168,759.5280151
14269,2815,1,2136,2429,135.673528000000000,457239.000000000000000,4380170.000000000000000,9124,759.6599731
14270,2815,1,2136,2429,135.673528000000000,457240.000000000000000,4380168.000000000000000,9104,759.7540283
14271,2815,1,2136,2429,135.673528000000000,457244.000000000000000,4380167.000000000000000,7263,760.2130127
14272,2815,1,2136,2429,135.673528000000000,457251.000000000000000,4380163.000000000000000,7243,761.1699829
14273,2833,1,2070,2446,121.241302000000000,458106.000000000000000,4380169.000000000000000,3782,690.1049805
14274,2833,1,2070,2446,121.241302000000000,458104.000000000000000,4380163.000000000000000,3725,691.8049927
14275,2838,1,2453,2079,135.853558999999990,459405.000000000000000,4380163.000000000000000,11100,649.2709961
14276,2838,1,2453,2079,135.853558999999990,459406.000000000000000,4380164.000000000000000,11116,649.0540161
14277,2838,1,2453,2079,135.853558999999990,459406.000000000000000,4380172.000000000000000,11164,646.8189697
14278,2870,1,2054,2481,159.346193000000000,456847.000000000000000,4380167.000000000000000,23272,762.3150024
14279,2870,1,2054,2481,159.346193000000000,456850.000000000000000,4380164.000000000000000,23224,763.0770264
14280,2870,1,2054,2481,159.346193000000000,456850.000000000000000,4380162.000000000000000,23210,763.3460083
14281,2870,1,2054,2481,159.346193000000000,456852.000000000000000,4380159.000000000000000,23164,764.1870117
14282,2870,1,2054,2481,159.346193000000000,456851.000000000000000,4380158.000000000000000,23148,764.3690186
14283,2497,1,2113,2172,40.741259999999997,455849.000000000000000,4380156.000000000000000,2655,860.3159790
14284,2497,1,2113,2172,40.741259999999997,455851.000000000000000,4380156.000000000000000,2691,859.9099731
14285,2498,1,2140,2172,10.630146000000000,455851.000000000000000,4380156.000000000000000,2691,859.9099731
14286,2499,1,2173,2168,2.000000000000000,458223.000000000000000,4380156.000000000000000,1732,682.9470215
14287,2500,1,2173,2174,1.000000000000000,458223.000000000000000,4380156.000000000000000,1732,682.9470215
14288,2500,1,2173,2174,1.000000000000000,458224.000000000000000,4380156.000000000000000,1733,682.7109985
14289,2501,1,2168,2174,1.000000000000000,458224.000000000000000,4380156.000000000000000,1733,682.7109985
14290,2502,1,2174,2175,1.000000000000000,458224.000000000000000,4380156.000000000000000,1733,682.7109985
14291,2502,1,2174,2175,1.000000000000000,458225.000000000000000,4380156.000000000000000,1795,682.4359741
14292,2503,1,2168,2175,2.000000000000000,458225.000000000000000,4380156.000000000000000,1795,682.4359741
14293,2504,1,2175,2169,18.027756000000000,458225.000000000000000,4380156.000000000000000,1795,682.4359741
14294,2505,1,2138,2171,47.680166999999997,455654.000000000000000,4380155.000000000000000,2500,881.9229736
14295,2505,1,2138,2171,47.680166999999997,455680.000000000000000,4380156.000000000000000,1291,879.6420288
